"Food spots near 1 Civic/BCI, Woodbine MS, and 140 Borough; some are takeout spots, some are sit-down restaurants, and some may be just for taking some snacks into the office! 😊

Managed by Kevin :)",,,,
,,,,
Title,Note,URL,Tags,Comment
,,,,
Thairoomgrand Etobicoke,"it doesn't look like this thairoomgrand location has a lunch special, and while i have not been here before, these chains are normally very consistent. menu looks inexpensive, so it is worth a go! (ETOBICOKE)",https://www.google.com/maps/place/Thairoomgrand+Etobicoke/data=!4m2!3m1!1s0x882b37ed72f8fe95:0x447ff0b6fc27bec8,,
Federick Restaurant,"long standing chinese hakka food. big portion, inexpensive pricetags, lots of oil. not good if you're dieting but sometimes you need a plate of chili chicken (SCARBOROUGH)",https://www.google.com/maps/place/Federick+Restaurant/data=!4m2!3m1!1s0x89d4d0543f11892b:0x6b2f4a19dea3ba34,,
Som Tum Jinda - Fairview Mall,newer som tum jinda location in fairview mall; other locations come very highly reviewed (NORTH YORK),https://www.google.com/maps/place/Som+Tum+Jinda+-+Fairview+Mall/data=!4m2!3m1!1s0x89d4d3006cce27bb:0xa3a55d21f39752b,,
شاورما حطب و نار Charc Shawarma,shawarma that comes recommended by many of the west FS folk (ETOBICOKE),https://www.google.com/maps/place/%D8%B4%D8%A7%D9%88%D8%B1%D9%85%D8%A7+%D8%AD%D8%B7%D8%A8+%D9%88+%D9%86%D8%A7%D8%B1+Charc+Shawarma%E2%80%AD/data=!4m2!3m1!1s0x882b4700533fa1e1:0x78052a65b857ad90,,
McNie's Fish & Chips,"fish and chips by martingrove and burnhamthorpe. supposed to be not bad! apparently they even used to serve haggis, but no longer. they've got a cod and chips + drink lunch special as well (ETOBICOKE)",https://www.google.com/maps/place/McNie's+Fish+%26+Chips/data=!4m2!3m1!1s0x882b3784cd2701b5:0x25df9d01b5cae962,,
Sanremo Bakery,"well known etobicoke italian bakery. i have never ever happened to be in the area for this, so i am primed and ready to go if anyone else wants to come with me. i've been warned that as they have a massive selection of items, not everything is going to be a hit (ETOBICOKE)",https://www.google.com/maps/place/Sanremo+Bakery/data=!4m2!3m1!1s0x882b36246cafd91b:0xa9d51aa6ba6b99ee,,
Mr. Souvlaki,"greek spot at cloverdale mall, not bad actually, reminded me of when the NS team would get jimmy the greek from STC, taste was extremely similar (ETOBICOKE)",https://www.google.com/maps/place/Mr.+Souvlaki/data=!4m2!3m1!1s0x882b37f3f61998a3:0x1990c69da001eeb5,,
Ragu Scratch Pasta,"have not tried but but i have heard so many great things about this place. locally owned italian pasta made from scratch. takeout only, but looks like it would be amazing if you're in the mood for pasta. (ETOBICOKE)",https://www.google.com/maps/place/Ragu+Scratch+Pasta/data=!4m2!3m1!1s0x882b372deee6d311:0xa5a49eac879a9991,,
Yellow Cup Cafe,cafe and other cafe-foods across cloverdale mall (ETOBICOKE),https://www.google.com/maps/place/Yellow+Cup+Cafe/data=!4m2!3m1!1s0x882b37f3dc2cb07b:0x4d35d44aed907905,,
Ikkoi Sushi & Ramen Japanese Cuisine,"recommended by kevin chau, he said that the group used to go from time to time for sushi, ramen, and other japanese items. (ETOBICOKE)",https://www.google.com/maps/place/Ikkoi+Sushi+%26+Ramen+Japanese+Cuisine/data=!4m2!3m1!1s0x882b371904899bdd:0x2125907549828f65,,
Elijah's Automatic Flame Broiled,yet another burger spot to try :D (ETOBICOKE),https://www.google.com/maps/place/Elijah's+Automatic+Flame+Broiled/data=!4m2!3m1!1s0x882b37ce63e08e9b:0x1664c69ce6db1a0b,,
North of Brooklyn Pizzeria,"classic toronto chain, really good pizza (ETOBICOKE)",https://www.google.com/maps/place/North+of+Brooklyn+Pizzeria/data=!4m2!3m1!1s0x882b37ed5fab8885:0x25b217e8ff7e32e8,,
Curry and Chutney By Gopal's,"local recommended spot for vada pav, masala dosa, pav bhaji, thali, etc. (ETOBICOKE)",https://www.google.com/maps/place/Curry+and+Chutney+By+Gopal's/data=!4m2!3m1!1s0x882b3760f9b5da5b:0x4386c6285e691913,,
OBQ Burgers,another local burger spot (ETOBICOKE),https://www.google.com/maps/place/OBQ+Burgers/data=!4m2!3m1!1s0x882b481052551c69:0xf18bddd086f95ea5,,
Apache Burgers,OG burger spot with a special grape drink (ETOBICOKE),https://www.google.com/maps/place/Apache+Burgers/data=!4m2!3m1!1s0x882b37be1c1bfee7:0xd838b8b45464c494,,
Bravo Bistro,donny took us with ziggy and the others to this polish place. i liked it a lot! nofrills and the schnitzel seemed fresh (ETOBICOKE),https://www.google.com/maps/place/Bravo+Bistro/data=!4m2!3m1!1s0x882b385518d5594b:0xec82d79713fd4bed,,
Chit Chaat,"punjabi food, looks popular! (ETOBICOKE)",https://www.google.com/maps/place/Chit+Chaat/data=!4m2!3m1!1s0x882b4927a4da385d:0x4a3399a2c569f8c3,,
Sikgaek Korean Restaurant and Bar,"typical korean fare, west side in mississauga (ETOBICOKE)",https://www.google.com/maps/place/Sikgaek+Korean+Restaurant+and+Bar/data=!4m2!3m1!1s0x882b3802c9155a53:0xeca497f72be55c4a,,
Orda Uyghur Kebab,"uyghur food, noodles, meat, etc. (ETOBICOKE)",https://www.google.com/maps/place/Orda+Uyghur+Kebab/data=!4m2!3m1!1s0x882b47d6c595bfef:0xb2f771a702c83594,,
Fairouz Restaurant and Lounge,"lebanese style kabob and other dishes. this place looks pretty fancy, maybe better for a special occasion (ETOBICOKE)",https://www.google.com/maps/place/Fairouz+Restaurant+and+Lounge/data=!4m2!3m1!1s0x882b370060e816d5:0x4a3f8c24729b36d9,,
NAAN KABOB,"afghani style kabob, fast-food style place, but they cook everything fresh which is always nice (ETOBICOKE)",https://www.google.com/maps/place/NAAN+KABOB/data=!4m2!3m1!1s0x882b39e119aa94bb:0xf24594ff9935afb2,,
Blooming Batter (Formerly Stacks Toronto),"brunch food, if you're ever in the mood for that! bacon and eggs, sandwiches, pancakes, etc. (ETOBICOKE)",https://www.google.com/maps/place/Blooming+Batter+(Formerly+Stacks+Toronto)/data=!4m2!3m1!1s0x882b47f138562287:0x5cc94f73d0aad59f,,
Sanaa AlYemen Restaurant,"yemeni food, i have never tried before but the reviews look promising! (ETOBICOKE)",https://www.google.com/maps/place/Sanaa+AlYemen+Restaurant/data=!4m2!3m1!1s0x882b39852f145037:0xa052435ece979621,,
Thairoomgrand York Mills,"another thai spot at york mills and don mills, this place has a lunch special while chiang mai (which seems to be better liked) does not. seems like good value! (NORTH YORK)",https://www.google.com/maps/place/Thairoomgrand+York+Mills/data=!4m2!3m1!1s0x89d4d3ae457976d7:0xee30bcf9fcaad659,,
Chiang Mai York Mills,"thai, short drive south of peanut plaza. this place is a little more fancy and has a brunch menu, which is a little crazy to me lol (kind of a thai-western fusion, even more so than western thai food already is) (NORTH YORK)",https://www.google.com/maps/place/Chiang+Mai+York+Mills/data=!4m2!3m1!1s0x89d4d32da32e171b:0xda4b5dda1c65e5c5,,
ACR Hot Roti & Doubles,trinidadian food and supposedly the best doubles in toronto!! (SCARBOROUGH),https://www.google.com/maps/place/ACR+Hot+Roti+%26+Doubles/data=!4m2!3m1!1s0x89d4d1c35124f46b:0x64e387e5523e76d5,,
Darband Restaurant,"amin recommended this spot, looks like they are well known for both their kaleh pacheh in addition to the other typical persian options (NORTH YORK)",https://www.google.com/maps/place/Darband+Restaurant/data=!4m2!3m1!1s0x89d4d29c825184c9:0x9fe65233a28ef8bb,,
Lucky Chinese Restaurant,another hakka chinese spot (SCARBOROUGH),https://www.google.com/maps/place/Lucky+Chinese+Restaurant/data=!4m2!3m1!1s0x89d4d1c35122aac1:0x117da8a757b19cd6,,
Patty Time,little patty shop south of thomson memorial park  (SCARBOROUGH),https://www.google.com/maps/place/Patty+Time/data=!4m2!3m1!1s0x89d4d1ceeaf0013b:0xdc97ca18bdeceeb,,
John Anderson's Hamburgers,"burger shop at victoria park and finch, no seating inside but probably nice to eat on a ""reasonable weather"" day outside (NORTH YORK)",https://www.google.com/maps/place/John+Anderson's+Hamburgers/data=!4m2!3m1!1s0x89d4d3ac788da9cd:0x4e1b3e5da5057ce9,,
P Jay's Jamaican Take-Out,great jamaican food and patties :) (SCARBOROUGH) (NORTH YORK),https://www.google.com/maps/place/P+Jay's+Jamaican+Take-Out/data=!4m2!3m1!1s0x89d4d3d9177e4255:0x203db70aa364467c,,
Saigon Express Restaurant,"little viet/chinese/thai place inside the peanut plaza mall, i found the pho to be ok but a little too oily for my liking. other options look good and is inexpensive (NORTH YORK)",https://www.google.com/maps/place/Saigon+Express+Restaurant/data=!4m2!3m1!1s0x89d4d2e22bf51cc7:0xa5c3049ba6a03132,,
Restaurant Boustan,"the famous montreal shawarma in the GTA. i have not been to this location, but i have been wanting to give it a go (just not had a good opportunity) (NORTH YORK)",https://www.google.com/maps/place/Restaurant+Boustan/data=!4m2!3m1!1s0x89d4d3232915226d:0xe8546f1fdd22c38b,,
Bingz Crispy Burger Fairview Mall,"this place has opened up a lot of locations recently, little crispy chinese ""crepes"" with meat filling + other small dishes. i don't mind this sort of food but it can be a little one-dimensional (NORTH YORK)",https://www.google.com/maps/place/Bingz+Crispy+Burger+Fairview+Mall/data=!4m2!3m1!1s0x89d4d3db92110b79:0x18c5a2c8477c0345,,
Good Catch Cafe (Fairview Mall),"hong kong cafe specialties like cantonese baked casseroles, tea, and other small dishes. this place opened pretty recently in fairview mall and while the reviews don't look especially promising, i think it's worth a try :) (NORTH YORK)",https://www.google.com/maps/place/Good+Catch+Cafe+(Fairview+Mall)/data=!4m2!3m1!1s0x89d4d30c843ee65d:0x1e74be5ed4042332,,
Lavash Authentic Armenian Restaurant,"seems like a place you'd only come to if you had a little extra time. armenian/middle eastern food; not a lot of places serving some of these dishes, so worth a go if there is a day you're wanting a ""long lunch"" at (NORTH YORK)",https://www.google.com/maps/place/Lavash+Authentic+Armenian+Restaurant/data=!4m2!3m1!1s0x89d4d31729e65e61:0xeb4f4058976734e7,,
Congee Wong,"congee, cantonese dishes, and a big menu at finch and leslie. i have not been to this location but congee places like this are always pretty consistent and good (NORTH YORK)",https://www.google.com/maps/place/Congee+Wong/data=!4m2!3m1!1s0x89d4d3276580b45b:0xf73cf7c818c269bf,,
Allan’s Pastry Shop,"authorized reseller of allan's jamaican pastries located right in peanut plaza, have not tried yet but would be a very easy way to get some snacks for the team (NORTH YORK)",https://www.google.com/maps/place/Allan%E2%80%99s+Pastry+Shop/data=!4m2!3m1!1s0x89d4d2e22d12cba5:0x2e4c09ab89b3922f,,
Shi MiaoDao (Ten Seconds) Yunnan Rice Noodle (NorthYork) 十秒到云南过桥米线,"yunnan style rice noodles, looks like plenty of options, quick service (NORTH YORK)",https://www.google.com/maps/place/Shi+MiaoDao+(Ten+Seconds)+Yunnan+Rice+Noodle+(NorthYork)+%E5%8D%81%E7%A7%92%E5%88%B0%E4%BA%91%E5%8D%97%E8%BF%87%E6%A1%A5%E7%B1%B3%E7%BA%BF/data=!4m2!3m1!1s0x89d4d333fb3fc62f:0x7eb511b3c82f6314,,
St. Andrews Fish & Chips,i might be getting baited but i have heard this place has some really good fish and chips. i feel like every fish and chips spot i've ever tried here has just been an oily mess (and this place probably is) but on the off chance this is actually good it might be worth a go (SCARBOROUGH),https://www.google.com/maps/place/St.+Andrews+Fish+%26+Chips/data=!4m2!3m1!1s0x89d4d1ae59f96621:0xb15dc122a74dd39,,
One2Snacks,"donnie-approved malay shop. takeout only, with long wait times. good to order ahead of time via phone. char kway teow was good, laksa ok. ask donnie for what he thinks is best :D (SCARBOROUGH)",https://www.google.com/maps/place/One2Snacks/data=!4m2!3m1!1s0x89d4d17127224fdd:0xc11bdf7a79522999,,
THG's Hot Chicken,"fried chicken, sliders, fries, mac, etc. have not been but have been told this place is really good. probably good on a day where you know the afternoon is going to be uneventful as you'll probably need a nap later (SCARBOROUGH)",https://www.google.com/maps/place/THG's+Hot+Chicken/data=!4m2!3m1!1s0x89d4d12d3dcaedc9:0x5a8d01b725126e4a,,
